"protein_A","protein_B"
"0610010K14Rik","Ap2b1"
"0610010K14Rik","Arfgap1"
"0610010K14Rik","H1f0"
"0610010K14Rik","Hist1h1e"
"0610010K14Rik","Hp1bp3"
"0610010K14Rik","Ina"
"0610010K14Rik","Map1b"
"0610010K14Rik","Mbp"
"0610010K14Rik","Myef2"
"0610010K14Rik","Nefh"
"0610010K14Rik","Rpl13"
"0610010K14Rik","Rpl3"
"0610010K14Rik","Rpl35"
"0610010K14Rik","Rpl4"
"0610010K14Rik","Rpl6"
"0610010K14Rik","Rplp2"
"0610010K14Rik","Rps13"
"0610010K14Rik","Rps8"
"0610010K14Rik","Rtn3"
"0610010K14Rik","Sptbn2"
"0610010K14Rik","Tnc"
"0610010K14Rik","Vim"
"1810009A15Rik","Sptbn2"
"2010300C02Rik","Ap3b2"
"2310022B05Rik","Eno2"
"2310035C23Rik","Afdn"
"2310035C23Rik","Evi5l"
"2310035C23Rik","Nos1"
"2310035C23Rik","Sparcl1"
"2310035C23Rik","Srp72"
"9030624J02Rik","Ccdc93"
"9030624J02Rik","Commd1"
"9030624J02Rik","Commd10"
"9030624J02Rik","Commd4"
"9030624J02Rik","Fasn"
"9030624J02Rik","Hsp90b1"
"9030624J02Rik","Prpf39"
"9030624J02Rik","Slk"
"A830010M20Rik","Dnajc6"
"A830010M20Rik","Pacsin1"
"Aak1","Commd1"
"Aak1","Commd3"
"Aak1","Commd6"
"Aak1","Fkbp5"
"Aamp","Actr2"
"Aamp","Actr3"
"Aamp","Agl"
"Aamp","Aldh1a1"
"Aamp","Arih1"
"Aamp","Arpc1b"
"Aamp","Arpc3"
"Aamp","Arpc5"
"Aamp","Arpc5l"
"Aamp","Bcat1"
"Aamp","Btf3"
"Aamp","Cfdp1"
"Aamp","Coro1c"
"Aamp","Coro7"
"Aamp","Drg2"
"Aamp","Eno2"
"Aamp","Ero1a"
"Aamp","Gmpr"
"Aamp","Gtf2f1"
"Aamp","Hmgcs1"
"Aamp","Iars2"
"Aamp","Mapre2"
"Aamp","Mut"
"Aamp","Naa15"
"Aamp","Naca"
"Aamp","P4hb"
"Aamp","Pcyt2"
"Aamp","Pgam2"
"Aamp","Pkm"
"Aamp","Ppp1r2"
"Aamp","Sncb"
"Aamp","Stat5b"
"Aamp","Stmn1"
"Aamp","Timm13"
"Aamp","Uba3"
"Aamp","Ube3a"
"Aamp","Zranb2"
"Aars","Anp32e"
"Aars","Calr"
"Aars","Coro1b"
"Aars","Fnta"
"Aars","Fntb"
"Aars","Gldc"
"Aars","Gm27029"
"Aars","Hars"
"Aars","Hs1bp3"
"Aars","Khsrp"
"Aars","Lap3"
"Aars","Marcks"
"Aars","Me1"
"Aars","Nedd4"
"Aars","Nrd1"
"Aars","Nsun2"
"Aars","Ogdh"
"Aars","Osgep"
"Aars","Paip1"
"Aars","Pfdn1"
"Aars","Pfdn6"
"Aars","Ppme1"
"Aars","Ppp1cb"
"Aars","Ppp1r11"
"Aars","Ppp1r7"
"Aars","Prkg1"
"Aars","Rad23b"
"Aars","Sae1"
"Aars","Sars"
"Aars","Sdf4"
"Aars","Sh3gl1"
"Aars","Spon1"
"Aars","Syn1"
"Aars","Usp5"
"Aars","Zpr1"
"Aass","C4b"
"Aass","Ehd4"
"Aass","Eif5"
"Aass","Eno2"
"Aass","Epdr1"
"Aass","Prune1"
"Aass","Sncb"
"Aass","Stmn1"
"Aass","Syne1"
"Abca8b","Syn1"
"Abce1","Sncb"
"Abce1","Stmn1"
"Abhd6","Sncb"
"Abi1","Kif3b"
"Ablim1","Atp6v1c1"
"Ablim1","Cttn"
"Ablim1","Dnm1l"
"Ablim1","Lrpprc"
"Ablim1","Mug1"
"Ablim1","Plcb1"
"Abr","Atpaf1"
"Abr","Dis3l2"
"Abr","Gmpr2"
"Abr","Naa10"
"Abr","Rprd1b"
"Abraxas2","Ap1m1"
"Abraxas2","Babam2"
"Abraxas2","Brcc3"
"Abraxas2","Cops2"
"Abraxas2","Cops3"
"Abraxas2","Cops4"
"Abraxas2","Cops5"
"Abraxas2","Cops7a"
"Abraxas2","Cryzl1"
"Abraxas2","Dnm3"
"Abraxas2","Eif2b2"
"Abraxas2","Eif2b3"
"Abraxas2","Eif2b4"
"Abraxas2","Eipr1"
"Abraxas2","Flnb"
"Abraxas2","Gatd1"
"Abraxas2","Gps1"
"Abraxas2","Hdlbp"
"Abraxas2","Lsm2"
"Abraxas2","Lsm7"
"Abraxas2","Psmd10"
"Abraxas2","Sart3"
"Abraxas2","Tfg"
"Abraxas2","Usp47"
"Abraxas2","Wdr61"
"Acaa1b","Mcc"
"Acaa1b","Ptk2b"
"Acaa2","Acadl"
"Acaa2","Acat3"
"Acaa2","Acot9"
"Acaa2","Agl"
"Acaa2","Ahcy"
