source	target	source_gene	target_gene
A0A7M7L8C8	Q14204	LOC725068	DYNC1H1
A0A7M7R7Y0	Q6P2Q9	551620	PRPF8
A0A7M7SQH1	Q8IVF4	LOC411301	DNAH10
A0A7M7LN09	Q9Y4A5	410502	TRRAP
A0A7M7L0P4	O95714	LOC411536	HERC2
A0A7M7MUH7	Q9P225	LOC412775	DNAH2
A0A7M7H1F1	Q5T4S7	LOC412281	UBR4
A0A7M7SRW7	Q8TD57	LOC412230	DNAH3
A0A7M7GLA6	Q9C0G6	LOC411602	DNAH6
A0A7M7MX46	O75592	LOC551203	MYCBP2
A0A7M7MXH7	O75643	LOC551530	SNRNP200
A0A7M7MVC5	Q8IZQ1	LOC551947	WDFY3
A0A7M7IGA1	Q13813	551291	SPTAN1
A0A7M7SPA7	Q7Z6Z7	LOC411961	HUWE1
A0A7M7MWP3	P21359	LOC552370	NF1
A0A7M7H1H2	P42345	LOC409393	MTOR
A0A7M7L4V9	Q6V0I7	LOC410009	FAT4
A0A7M7RB98	Q00610	550716	CLTC
A0A7M7MSS9	P27708	LOC410408	CAD
A0A7M7GYT8	Q70CQ2	LOC410109	USP34
A0A7M7IIC1	A5YKK6	LOC412371	CNOT1
A0A7M7MMZ5	Q9NU22	LOC551016	MDN1
A0A7M7L2C0	Q13402	LOC726683	MYO7A
A0A7M7IKM5	Q9ULT8	LOC726254	HECTD1
A0A7M7IF13	O75165	LOC411060	DNAJC13
A0A7M7IIB9	Q2LD37	LOC410019	KIAA1109
A0A7M7SQR2	Q07864	LOC409673	POLE
A0A7M7MRJ0	P24928	LOC550829	POLR2A
A0A7M7R9T5	P41252	551629	IARS
A0A7M7TG27	O75153	552519	CLUH
A0A7M7G2C3	P42858	726358	HTT
A0A7M7MUR9	Q9Y2A7	LOC551945	NCKAP1
A0A7M7RAQ2	Q8N122	LOC551668	RPTOR
A0A7M7TFC4	Q8N201	LOC411469	INTS1
A0A7M7MNB0	P47989	LOC724718	XDH
A0A7M7ISV8	Q12882	410207	DPYD
A0A7M7LPP6	Q5JWR5	412544	DOP1A
A0A7M7MRV8	Q8N2C7	LOC726032	UNC80
A0A7M7IFF9	P13639	409167	EEF2
A0A7M7MMX5	A3KN83	LOC100578826	SBNO1
A0A7M7GCN8	P42285	LOC551637	MTREX
A0A7M7GVC8	P55072	409377	VCP
A0A7M7L4R3	O15067	LOC552657	PFAS
A0A7M7MQF9	Q93009	LOC409332	USP7
A0A7M7R8Z3	Q6PD62	LOC413130	CTR9
A0A7M7MM45	Q92620	LOC726778	DHX38
A0A7M7R561	P22314	410958	UBA1
A0A7M7MM85	P53618	LOC725057	COPB1
A0A7M7L5H0	Q9H0A0	LOC724656	NAT10
A0A7M7G285	O95602	725216	POLR1A
A0A7M7R6G3	Q9HD20	412741	ATP13A1
A0A7M7MKQ3	O75691	LOC100577763	UTP20
A0A7M7R679	Q08211	413074	DHX9
A0A7M7L6W1	Q9P2D8	408845	UNC79
A0A7M7R9V3	P28340	LOC551398	POLD1
A0A7M7L1H0	Q8NEZ3	LOC408662	WDR19
A0A7M7GQV2	Q00341	412111	HDLBP
A0A7M7MM94	P23378	LOC100577053	GLDC
A0A7M7TFV9	Q9Y5B9	551612	SUPT16H
A0A7M7GSE7	Q9H1A4	LOC726728	ANAPC1
A0A7M7MS99	Q9UM54	LOC409285	MYO6
A0A7M7TF08	P21399	409485	ACO1
A0A7M7GNQ1	A7E2V4	LOC413399	ZSWIM8
A0A7M7GPI8	Q9H6S0	409028	YTHDC2
A0A7M7MVK6	Q86YT6	LOC550708	MIB1
A0A7M7MW61	Q5T011	LOC100578661	SZT2
A0A7M7RCJ6	Q13200	409475	PSMD2
A0A7M7L6S2	Q13045	LOC412468	FLII
A0A7M7MTU0	Q92538	LOC727312	GBF1
A0A7M7LP80	Q6ZT12	LOC412002	UBR3
A0A7M7MNH5	Q12791	LOC413994	KCNMA1
A0A7M7L8V0	Q92614	LOC726044	MYO18A
A0A7M7MKN8	P23921	LOC725673	RRM1
A0A7M7GTJ0	Q13616	410565	CUL1
A0A7M7R2P2	Q99798	408446	ACO2
A0A7M7GPC9	Q5VYK3	LOC725156	ECPAS
A0A7M7R581	Q9P2L0	LOC411338	WDR35
A0A7M7LQH7	O14936	LOC411347	CASK
A0A7M7LNZ0	Q13618	LOC552700	CUL3
A0A7M7GUB1	P26640	LOC411734	VARS
A0A7M7GW88	Q8NI27	LOC410099	THOC2
A0A7M7R5Q1	O43426	411705	SYNJ1
A0A7M7GQZ3	Q14974	LOC410447	KPNB1
A0A7M7R425	Q6P1X5	409906	TAF2
A0A7M7GNZ8	Q7Z7G8	LOC413036	VPS13B
A0A7M7L5X8	Q99570	LOC726562	PIK3R4
A0A7M7FYK8	Q14997	725550	PSME4
A0A7M7MMJ1	P98160	LOC409722	HSPG2
A0A7M7MUD7	P19174	LOC551709	PLCG1
A0A7M7RC27	O95985	552787	TOP3B
A0A7M7MU97	Q8WXG6	LOC409137	MADD
A0A7M7GP14	Q14703	412293	MBTPS1
A0A7M7M0T3	Q9Y4E6	LOC412288	WDR7
A0A7M7R3G4	P46977	409265	STT3A
A0A7M7MGT3	P11586	LOC550749	MTHFD1
A0A7M7G9G5	O43143	551824	DHX15
A0A7M7R7B2	P49588	411923	AARS
A0A7M7R5K2	P55060	411865	CSE1L
A0A7M7IKX3	P36776	409459	LONP1
A0A7M7MPL1	Q9HBG6	LOC727298	IFT122
A0A7M7R312	Q96QK1	408796	VPS35
A0A7M7R7X6	P18074	412700	ERCC2
A0A7M7IHB4	Q9UPY3	552127	DICER1
A0A7M7R9K7	O14617	412097	AP3D1
